cell_id,T,Cancer_Epi,Stromal,Myeloid,PVL,Normal_Epi,Plasma,B,NK_ILC,x,y
0,0.2082232,0.16200656,0.09438246,0.11779685,0.0727295,0.10342109,0.080348395,0.08602143,0.07507046,0,0
112,0.22228551,0.15937953,0.093896106,0.13045762,0.06883857,0.10662972,0.06985486,0.07608425,0.072573885,0,112
224,0.15927635,0.13806681,0.088487774,0.078824595,0.054747984,0.11930895,0.18828696,0.087446004,0.08555453,0,224
448,0.3418744,0.22687475,0.19072,0.0155187175,0.01787893,0.09232459,0.046749927,0.039909624,0.028149066,0,448
560,0.17906919,0.12907487,0.07163245,0.12596315,0.18620239,0.08931747,0.056060594,0.08775015,0.07492972,0,560
896,0.18980585,0.2412085,0.11831883,0.084458366,0.04928751,0.15792657,0.041033816,0.061172847,0.05678771,0,896
1008,0.18157052,0.14111693,0.13220881,0.1207204,0.12364314,0.09936133,0.053123936,0.080717325,0.067537636,0,1008
1120,0.18783976,0.14222485,0.106735274,0.1543642,0.09150985,0.10433106,0.049568065,0.08668566,0.07674136,0,1120
1232,0.23624001,0.15306494,0.09148727,0.116462395,0.072517335,0.09892337,0.05886424,0.09217931,0.080261186,0,1232
1344,0.21417965,0.14340103,0.18549846,0.084368944,0.105404064,0.097174354,0.047577586,0.06609381,0.056302134,0,1344
1456,0.22573219,0.16364495,0.096204154,0.10612432,0.07042442,0.113052115,0.058822967,0.08515009,0.08084478,0,1456
1568,0.1511549,0.20158678,0.090144105,0.2677398,0.047910295,0.11552887,0.050481346,0.042972997,0.03248088,0,1568
1792,0.2365439,0.15874623,0.10317798,0.09885845,0.06806665,0.104116805,0.056948736,0.09515964,0.078381605,0,1792
1904,0.13746484,0.09550302,0.2607814,0.14265682,0.08739013,0.06025475,0.035113305,0.11934537,0.061490353,0,1904
2016,0.1696355,0.16246067,0.07458788,0.16587785,0.05557563,0.13752924,0.056622777,0.0814952,0.09621528,0,2016
2128,0.21647243,0.1769542,0.08159296,0.085813686,0.069505066,0.11823718,0.08982916,0.10114946,0.060445886,0,2128
2240,0.23551159,0.16626383,0.090831146,0.11152748,0.070634104,0.1084264,0.057325196,0.092856005,0.06662433,0,2240
2352,0.30262297,0.23852524,0.072556786,0.070603125,0.05160416,0.10476773,0.041138038,0.05908911,0.05909283,0,2352
2464,0.19948415,0.15600759,0.088680714,0.20066981,0.067459896,0.10896466,0.052876927,0.06962974,0.056226525,0,2464
2576,0.21259864,0.15713899,0.09409229,0.1907616,0.064325266,0.10236927,0.050336946,0.06868112,0.059695836,0,2576
2688,0.23446335,0.10790821,0.22586755,0.08344882,0.057493642,0.059687287,0.053487536,0.091333516,0.08631011,0,2688
2800,0.20044537,0.15452524,0.18988712,0.083970085,0.06751541,0.10803929,0.05860046,0.07665509,0.06036197,0,2800
2912,0.17343865,0.021061156,0.7210109,0.023361856,0.014451056,0.0,0.010297437,0.014392791,0.02100414,0,2912
3136,0.06828759,0.11975425,0.12867154,0.49240294,0.040491987,0.062441118,0.023521436,0.051092543,0.01333658,0,3136
3360,0.14240788,0.11582045,0.18951312,0.31766254,0.055852413,0.054477155,0.034942564,0.054439254,0.034884643,0,3360
3472,0.24097943,0.16725208,0.10276302,0.108021356,0.06761249,0.10658871,0.053047612,0.07688919,0.07684606,0,3472
3584,0.21855198,0.16512868,0.10862449,0.10677385,0.09502468,0.105397165,0.058203593,0.07808417,0.064211406,0,3584
3696,0.1641433,0.11090516,0.20767018,0.16175224,0.115193084,0.07207768,0.037973132,0.08020135,0.050083827,0,3696
3808,0.22335875,0.15714513,0.09920181,0.12744626,0.06846357,0.103233755,0.057217315,0.08524341,0.07868993,0,3808
4032,0.2386595,0.10453286,0.39521894,0.071028166,0.028233832,0.0478246,0.026036706,0.039141584,0.049323797,0,4032
4144,0.15249242,0.1612969,0.0735765,0.27880752,0.050211884,0.1370663,0.03726124,0.06877887,0.040508337,0,4144
4256,0.21174178,0.16336782,0.08726007,0.11798294,0.07115307,0.113158695,0.06250518,0.09362932,0.07920113,0,4256
4368,0.14489502,0.13818373,0.16349272,0.079494305,0.06785067,0.08571003,0.18365712,0.08343469,0.053281777,0,4368
4592,0.14099531,0.123153836,0.16501275,0.0816234,0.056338996,0.16496898,0.15112603,0.0655715,0.051209178,0,4592
4816,0.19367443,0.12525482,0.18670046,0.1141883,0.1265592,0.065435804,0.05448766,0.07452452,0.0591748,0,4816
4928,0.18196414,0.13189083,0.093321964,0.11668207,0.14360954,0.13098288,0.051387332,0.08523966,0.06492152,0,4928
5040,0.11821406,0.043383565,0.2632937,0.06066109,0.03741869,0.019695224,0.32224175,0.083683394,0.051408477,0,5040
5152,0.2296517,0.13096023,0.3491755,0.06694199,0.041117072,0.046620365,0.037107132,0.050549254,0.047876727,0,5152
5264,0.13070977,0.086773224,0.09211009,0.10016427,0.17210999,0.053922635,0.068402514,0.11715601,0.1786514,0,5264
